Stations,StopNo
Airport,3039
Barrhaven Centre,3045
Baseline,3017
Bayshore,3050
Bayview,3060
Beatrice,3049
Billings Bridge,3034
Blair,3027
Canadian Tire Centre,3059
Carleton,3062
Carling,3061
Chapel Hill,3074
Cyrville,3026
Dominion,3013
Eagleson,3055
Fallowfield - VIA Rail,3043
Greenboro,3037
Heron,3035
Hurdman,3023
Innovation,3057
Iris,3016
Jeanne d'Arc,3070
Lees,3022
Leitrim,3041
Lincoln Fields,3014
Longfields,3046
Lycée Claudel,3030
Lyon,3051
Marketplace,3047
Millennium,3076
Moodie,3042
Mooney's Bay,3063
Nepean Woods,3048
Parliament,3052
Pimisi,3010
Pinecrest,3019
Place d'Orléans,3028
Place d'Orléans Park & Ride,3075
Pleasant Park,3033
Queensway,3015
Rideau,3009
Riverside,3032
Riverview,3040
Smyth,3031
South Keys,3038
St-Laurent,3025
Strandherd,3044
Teron,3018
Terry Fox,3058
Tremblay - VIA Rail,3024
Trim,3029
Tunney's Pasture,3011
uOttawa,3021
Walkley,3036
Westboro,3012
